"icelines_rank","player","team","positions","expected_fantasy_points","fantasy_points_2025_26","nhl_expert_rank","quiet_slate_games"
"56","John Tavares","TOR","C","286.1","297.8","82","13"
"57","Moritz Seider","DET","D","284.9","360","76","17"
"58","Joey Daccord","SEA","G","284.6","256.6","","11"
"59","Dustin Wolf","CGY","G","284.5","301.2","250","11"
"60","Andrei Svechnikov","CAR","LW/RW","284.3","343.5","106","12"
"61","Stuart Skinner","WPG","G","283.1","256","","11"
"62","Seth Jarvis","CAR","C/LW/RW","279.9","294.5","","12"
"63","Dylan Cozens","OTT","C","279.9","354.2","140","11"
"64","J.T. Miller","NYR","C/LW/RW","279.6","264.8","98","18"
"65","Spencer Knight","CHI","G","279.4","300.4","172","15"
"66","Auston Matthews","TOR","C","277.8","239.8","17","13"
"67","Brady Tkachuk","FLA","C/LW","276.8","294.2","20","10"
"68","Tom Wilson","WSH","RW","276.7","320.5","85","16"
"69","Dylan Guenther","UTA","LW/RW","276","314.2","33","15"
"70","Linus Ullmark","OTT","G","275.4","267.7","151","11"
"71","Jack Hughes","NJD","C/LW","275.4","275.2","18","9"
"72","Nick Schmaltz","UTA","C/RW","274.2","299","83","15"
"73","Brandon Hagel","TBL","LW/RW","273.6","278.5","36","8"
"74","Travis Konecny","PHI","LW/RW","272.4","287","122","12"
"75","Vincent Trocheck","UTA","C","272.4","293.2","134","15"
"76","Morgan Geekie","BOS","C/LW/RW","271.3","330","111","14"
"77","Mark Stone","VGK","RW","270.5","300.2","99","10"
"78","Alex Tuch","WSH","LW/RW","270.3","299.5","124","16"
"79","John Gibson","DET","G","268.9","315.4","205","17"
"80","Connor Bedard","CHI","C/RW","268.5","281.8","65","15"
"81","Tomas Hertl","VGK","C/LW","265","301","195","10"
"82","Ryan O'Reilly","NSH","C","264.1","289","139","5"
"83","Bryan Rust","PIT","RW","263.1","290.2","105","14"
"84","Kirill Marchenko","CBJ","RW","262.1","288.2","52","10"
"85","Brock Nelson","COL","C","259","286.8","113","17"
"86","Darcy Kuemper","LAK","G","257.7","245.5","228","13"
"87","Mackenzie Blackwood","COL","G","256.6","219.1","92","17"
"88","Beckett Sennecke","ANA","RW","254.6","248.5","74","15"
"89","Matthew Knies","TOR","LW","254.2","304.5","103","13"
"90","Ukko-Pekka Luukkonen","BUF","G","253.4","212.4","131","10"
"91","Dylan Strome","WSH","C","253.2","231.5","126","16"
